"","weight_da","distance","gel_length","rf","log"
"1",180000,2.29,11.56,0.801903114186851,5.25527250510331
"2",130000,2.99,11.56,0.741349480968858,5.11394335230684
"3",100000,3.95,11.56,0.658304498269896,5
"4",70000,4.6,11.56,0.602076124567474,4.84509804001426
"5",55000,5.45,11.56,0.528546712802768,4.74036268949424
"6",40000,6.26,11.56,0.458477508650519,4.60205999132796
"7",35000,7.1,11.56,0.385813148788927,4.54406804435028
"8",25000,7.84,11.56,0.321799307958478,4.39794000867204
"9",15000,9.23,11.56,0.201557093425606,4.17609125905568
"10",10000,10.39,11.56,0.10121107266436,4
