"","r","A280"
"1",6.8,0.0634586909906938
"2",6.805,0.038304645867194
"3",6.81,0.0621744727390483
"4",6.815,0.0634038497486377
"5",6.82,0.0491542125224057
"6",6.825,0.0656199805042289
"7",6.83,0.0696789372244714
"8",6.835,0.0724444905633329
"9",6.84,0.0637798755902144
"10",6.845,0.0764032116906384
"11",6.85,0.0692407827687197
"12",6.855,0.0791578426531254
"13",6.86,0.0717879838812491
"14",6.865,0.0645078366234365
"15",6.87,0.0711820787318693
"16",6.875,0.0737134048935586
"17",6.88,0.0993658395136665
"18",6.885,0.0954866574570669
"19",6.89,0.0803714206104716
"20",6.895,0.105686732359229
"21",6.9,0.0939688871780234
"22",6.905,0.108263699406387
"23",6.91,0.0944990400081378
"24",6.915,0.117650816288097
"25",6.92,0.131175961121863
"26",6.925,0.116746692301145
"27",6.93,0.137283978981174
"28",6.935,0.141253859020054
"29",6.94,0.147612049583366
"30",6.945,0.156126746690948
"31",6.95,0.139124557175298
"32",6.955,0.154571898117159
"33",6.96,0.141515539962633
"34",6.965,0.162916399767675
"35",6.97,0.180599642853202
"36",6.975,0.170774028771779
"37",6.98,0.178702703042582
"38",6.985,0.182219109094768
"39",6.99,0.208601799119081
"40",6.995,0.191112667598284
"41",7,0.220336001495414
"42",7.005,0.211617751998763
"43",7.01,0.217168913726607
"44",7.015,0.231516144389189
"45",7.02,0.243161896003203
"46",7.025,0.228774850159992
"47",7.03,0.263653534262988
"48",7.035,0.250861876587147
"49",7.04,0.257810287578246
"50",7.045,0.274523382832711
"51",7.05,0.296111484275018
"52",7.055,0.302623454061934
"53",7.06,0.294585071170686
"54",7.065,0.319763044657695
"55",7.07,0.344668506117989
"56",7.075,0.331102564994804
"57",7.08,0.35571516674211
"58",7.085,0.3644270135243
"59",7.09,0.399446737531944
"60",7.095,0.382626785522829
"61",7.1,0.429648065960991
"62",7.105,0.425312669177854
"63",7.11,0.452351040943339
"64",7.115,0.474259042341792
"65",7.12,0.487890348960043
"66",7.125,0.484684611771474
"67",7.13,0.523825840834146
"68",7.135,0.523144238713533
"69",7.14,0.562789730681885
"70",7.145,0.562349457903153
"71",7.15,0.59449423098889
"72",7.155,0.607554533124831
"73",7.16,0.629012683657078
"74",7.165,0.654683657752192
"75",7.17,0.6894004078942
"76",7.175,0.714818187949149
"77",7.18,0.745765696101796
"78",7.185,0.759905023164376
"79",7.19,0.770048320634054
"80",7.195,0.810895675841613
"81",7.2,0.843849757148188
